# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.662999999999999694e-04,5.127900000000000340e-03
2.000000000000000000e+02,1.867500000000000019e-03,7.477100000000000413e-03
5.000000000000000000e+02,4.379499999999999713e-03,1.152240000000000035e-02
1.000000000000000000e+03,9.028700000000000614e-03,1.623899999999999996e-02
2.000000000000000000e+03,1.873489999999999878e-02,2.388260000000000036e-02
5.000000000000000000e+03,4.488280000000000047e-02,3.158350000000000046e-02
1.000000000000000000e+04,8.700189999999999313e-02,4.451560000000000239e-02
2.000000000000000000e+04,1.643755000000000077e-01,5.927020000000000205e-02
5.000000000000000000e+04,3.770086000000000270e-01,8.251940000000000663e-02
1.000000000000000000e+05,6.368458999999999648e-01,1.000082999999999944e-01
