# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.632939900000000222e+00,1.915138999999999869e-01
2.000000000000000000e+02,3.192481799999999925e+00,1.476835999999999982e-01
5.000000000000000000e+02,3.592439099999999996e+00,1.167627999999999999e-01
1.000000000000000000e+03,3.783854900000000132e+00,9.554650000000000643e-02
2.000000000000000000e+03,3.918314200000000191e+00,7.453600000000000503e-02
5.000000000000000000e+03,4.042142300000000077e+00,8.988690000000000568e-02
1.000000000000000000e+04,4.202306499999999723e+00,1.059332999999999941e-01
2.000000000000000000e+04,4.431183599999999778e+00,1.281210000000000127e-01
5.000000000000000000e+04,5.244864500000000263e+00,2.238633999999999902e-01
1.000000000000000000e+05,5.863978200000000029e+00,2.224916999999999867e-01
1.000000000000000000e+06,7.599325900000000189e+00,1.015512999999999971e-01
