# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.287000000000000312e-04,5.644500000000000212e-03
2.000000000000000000e+02,1.494099999999999942e-03,7.496700000000000239e-03
5.000000000000000000e+02,3.844100000000000034e-03,1.213260000000000033e-02
1.000000000000000000e+03,7.680400000000000421e-03,1.736669999999999880e-02
2.000000000000000000e+03,1.571480000000000099e-02,2.448289999999999841e-02
5.000000000000000000e+03,3.780270000000000158e-02,3.821660000000000335e-02
1.000000000000000000e+04,7.423190000000000344e-02,4.687310000000000088e-02
2.000000000000000000e+04,1.474054999999999949e-01,6.485009999999999386e-02
5.000000000000000000e+04,3.384809999999999763e-01,9.436350000000000293e-02
1.000000000000000000e+05,6.195688000000000306e-01,1.230329000000000006e-01
