# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.172949999999999882e-02,2.460259999999999878e-02
2.000000000000000000e+02,4.305839999999999668e-02,3.320429999999999909e-02
5.000000000000000000e+02,1.041284999999999988e-01,5.081109999999999793e-02
1.000000000000000000e+03,1.987551999999999930e-01,6.742710000000000370e-02
2.000000000000000000e+03,3.854418000000000011e-01,9.186300000000000021e-02
5.000000000000000000e+03,8.052323000000000119e-01,1.205294999999999978e-01
1.000000000000000000e+04,1.274434400000000078e+00,1.334935999999999900e-01
2.000000000000000000e+04,1.835053199999999940e+00,1.310738999999999932e-01
5.000000000000000000e+04,2.515888100000000183e+00,1.142917999999999989e-01
1.000000000000000000e+05,2.855102099999999865e+00,1.086058000000000023e-01
1.000000000000000000e+06,3.703418800000000122e+00,8.840009999999999535e-02
