# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.173199000000000047e-01,4.260449999999999654e-02
2.000000000000000000e+02,2.101839000000000068e-01,5.313469999999999999e-02
5.000000000000000000e+02,4.547391000000000072e-01,6.320969999999999367e-02
1.000000000000000000e+03,6.608614999999999906e-01,7.256160000000000387e-02
2.000000000000000000e+03,8.777580000000000382e-01,6.802969999999999851e-02
5.000000000000000000e+03,1.197983599999999926e+00,7.241309999999999414e-02
1.000000000000000000e+04,1.400492199999999965e+00,7.592580000000000162e-02
2.000000000000000000e+04,1.652815900000000005e+00,7.048419999999999686e-02
5.000000000000000000e+04,1.918099400000000010e+00,6.502600000000000047e-02
1.000000000000000000e+05,2.052245999999999793e+00,4.962300000000000044e-02
1.000000000000000000e+06,2.227653000000000105e+00,2.080210000000000045e-02
