# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.042000000000000041e-04,3.457299999999999957e-03
2.000000000000000000e+02,8.404000000000000446e-04,4.460200000000000102e-03
5.000000000000000000e+02,2.217699999999999966e-03,7.148800000000000293e-03
1.000000000000000000e+03,4.454200000000000173e-03,1.014340000000000033e-02
2.000000000000000000e+03,8.880300000000000693e-03,1.434689999999999924e-02
5.000000000000000000e+03,2.160789999999999933e-02,1.937140000000000042e-02
1.000000000000000000e+04,4.277220000000000327e-02,2.666790000000000133e-02
2.000000000000000000e+04,8.247450000000000614e-02,3.658789999999999959e-02
5.000000000000000000e+04,1.958711999999999953e-01,5.428129999999999761e-02
1.000000000000000000e+05,3.390863000000000071e-01,6.879889999999999617e-02
