# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.940399999999999459e-01,1.302253999999999912e-01
2.000000000000000000e+02,1.332748800000000067e+00,1.447717000000000032e-01
5.000000000000000000e+02,2.039238500000000176e+00,1.140424000000000021e-01
1.000000000000000000e+03,2.367559599999999875e+00,1.163042999999999993e-01
2.000000000000000000e+03,2.673514799999999969e+00,9.269320000000000337e-02
5.000000000000000000e+03,3.018230500000000038e+00,9.269130000000000424e-02
1.000000000000000000e+04,3.294634299999999794e+00,9.472479999999999789e-02
2.000000000000000000e+04,3.513755499999999810e+00,8.925700000000000300e-02
5.000000000000000000e+04,3.732869099999999829e+00,8.550249999999999517e-02
1.000000000000000000e+05,3.914991800000000133e+00,6.309570000000000456e-02
1.000000000000000000e+06,4.056764900000000118e+00,2.815279999999999866e-02
