# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.673780000000000059e-02,2.150310000000000069e-02
2.000000000000000000e+02,3.419919999999999904e-02,2.645640000000000144e-02
5.000000000000000000e+02,8.689299999999999802e-02,4.059900000000000314e-02
1.000000000000000000e+03,1.729089000000000043e-01,5.775249999999999828e-02
2.000000000000000000e+03,3.496576000000000128e-01,8.088470000000000382e-02
5.000000000000000000e+03,8.186854000000000076e-01,1.298943999999999932e-01
1.000000000000000000e+04,1.634965599999999908e+00,1.636042000000000052e-01
2.000000000000000000e+04,3.026066600000000051e+00,2.106858000000000064e-01
5.000000000000000000e+04,5.264672400000000252e+00,1.992273999999999989e-01
1.000000000000000000e+05,6.434452199999999955e+00,1.569189000000000001e-01
1.000000000000000000e+06,8.543077000000000254e+00,9.147769999999999513e-02
