# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.133999999999999742e-04,3.512400000000000157e-03
2.000000000000000000e+02,7.816000000000000248e-04,5.570300000000000251e-03
5.000000000000000000e+02,1.979799999999999876e-03,8.943100000000000702e-03
1.000000000000000000e+03,4.233299999999999737e-03,1.303329999999999940e-02
2.000000000000000000e+03,8.065900000000000847e-03,1.801470000000000155e-02
5.000000000000000000e+03,1.988310000000000077e-02,2.813070000000000154e-02
1.000000000000000000e+04,3.912329999999999974e-02,3.886730000000000046e-02
2.000000000000000000e+04,7.646529999999999994e-02,4.664900000000000296e-02
5.000000000000000000e+04,1.754303000000000112e-01,6.883980000000000654e-02
1.000000000000000000e+05,3.080571999999999755e-01,8.652419999999999556e-02
