# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.290000000000000098e-04,2.078099999999999826e-03
2.000000000000000000e+02,4.218000000000000070e-04,2.831499999999999816e-03
5.000000000000000000e+02,1.068699999999999902e-03,4.502700000000000105e-03
1.000000000000000000e+03,2.194799999999999789e-03,6.420399999999999718e-03
2.000000000000000000e+03,4.135699999999999966e-03,8.966599999999999918e-03
5.000000000000000000e+03,1.050809999999999939e-02,1.223270000000000086e-02
1.000000000000000000e+04,2.171469999999999997e-02,1.728299999999999975e-02
2.000000000000000000e+04,4.086250000000000299e-02,2.303229999999999861e-02
5.000000000000000000e+04,9.673389999999999767e-02,3.483750000000000041e-02
1.000000000000000000e+05,1.770591999999999999e-01,4.570749999999999813e-02
