# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.602284000000000264e-01,6.272160000000000235e-02
2.000000000000000000e+02,4.538804000000000172e-01,7.733210000000000084e-02
5.000000000000000000e+02,7.956581000000000348e-01,8.362290000000000001e-02
1.000000000000000000e+03,1.062075600000000009e+00,7.707110000000000349e-02
2.000000000000000000e+03,1.263825999999999894e+00,6.301479999999999582e-02
5.000000000000000000e+03,1.429386400000000057e+00,5.010640000000000233e-02
1.000000000000000000e+04,1.545498599999999945e+00,4.872080000000000161e-02
2.000000000000000000e+04,1.642325999999999953e+00,4.819729999999999848e-02
5.000000000000000000e+04,1.788612400000000102e+00,5.053180000000000172e-02
1.000000000000000000e+05,1.878178200000000020e+00,4.810779999999999917e-02
1.000000000000000000e+06,2.092152200000000128e+00,4.423110000000000236e-02
