# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.665999999999999750e-04,3.296199999999999998e-03
2.000000000000000000e+02,5.127000000000000481e-04,4.630399999999999794e-03
5.000000000000000000e+02,1.341299999999999914e-03,7.522000000000000040e-03
1.000000000000000000e+03,2.711299999999999821e-03,1.048400000000000026e-02
2.000000000000000000e+03,5.123100000000000223e-03,1.457710000000000082e-02
5.000000000000000000e+03,1.292049999999999969e-02,2.285130000000000147e-02
1.000000000000000000e+04,2.634550000000000086e-02,3.282290000000000207e-02
2.000000000000000000e+04,5.118969999999999770e-02,4.558829999999999827e-02
5.000000000000000000e+04,1.280931999999999904e-01,6.315669999999999618e-02
1.000000000000000000e+05,2.419410999999999923e-01,8.216049999999999742e-02
