# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.260300000000000005e-03,9.127700000000000743e-03
2.000000000000000000e+02,2.395299999999999947e-03,1.258609999999999937e-02
5.000000000000000000e+02,6.321399999999999589e-03,2.057439999999999963e-02
1.000000000000000000e+03,1.350709999999999932e-02,2.983200000000000088e-02
2.000000000000000000e+03,2.512700000000000003e-02,4.037450000000000067e-02
5.000000000000000000e+03,5.978889999999999899e-02,5.249560000000000337e-02
1.000000000000000000e+04,1.220456000000000041e-01,7.191540000000000432e-02
2.000000000000000000e+04,2.253251000000000004e-01,9.305599999999999983e-02
5.000000000000000000e+04,4.785288999999999793e-01,1.337190000000000045e-01
1.000000000000000000e+05,8.510263000000000133e-01,1.703485999999999889e-01
