# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.243249999999999800e-02,4.862450000000000105e-02
2.000000000000000000e+02,8.780140000000000167e-02,5.903110000000000301e-02
5.000000000000000000e+02,2.074499999999999955e-01,9.077269999999999783e-02
1.000000000000000000e+03,4.109553000000000234e-01,1.296905999999999892e-01
2.000000000000000000e+03,7.873461000000000487e-01,1.635984000000000049e-01
5.000000000000000000e+03,1.659105999999999970e+00,2.248571000000000042e-01
1.000000000000000000e+04,2.593953299999999906e+00,2.354751999999999956e-01
2.000000000000000000e+04,3.575128700000000048e+00,2.249957999999999958e-01
5.000000000000000000e+04,4.559973600000000182e+00,1.927736999999999923e-01
1.000000000000000000e+05,5.107709100000000113e+00,1.677866000000000080e-01
1.000000000000000000e+06,6.152208100000000179e+00,9.656869999999999343e-02
