# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.626999999999999974e-04,1.995799999999999831e-03
2.000000000000000000e+02,2.909000000000000236e-04,2.684399999999999981e-03
5.000000000000000000e+02,7.887999999999999829e-04,4.421399999999999809e-03
1.000000000000000000e+03,1.491200000000000034e-03,6.109599999999999753e-03
2.000000000000000000e+03,3.009599999999999862e-03,8.755999999999999894e-03
5.000000000000000000e+03,7.599100000000000125e-03,1.363160000000000066e-02
1.000000000000000000e+04,1.478660000000000044e-02,1.907069999999999946e-02
2.000000000000000000e+04,3.028070000000000067e-02,2.654369999999999993e-02
5.000000000000000000e+04,7.285850000000000659e-02,3.624190000000000050e-02
1.000000000000000000e+05,1.412778000000000089e-01,4.887219999999999759e-02
