# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.604500000000000065e-03,1.559349999999999972e-02
2.000000000000000000e+02,7.175100000000000228e-03,2.210929999999999840e-02
5.000000000000000000e+02,1.828660000000000008e-02,3.507849999999999857e-02
1.000000000000000000e+03,3.453389999999999932e-02,4.875909999999999966e-02
2.000000000000000000e+03,7.255019999999999525e-02,6.974930000000000019e-02
5.000000000000000000e+03,1.789161999999999975e-01,9.694060000000000177e-02
1.000000000000000000e+04,3.562944000000000111e-01,1.387790999999999886e-01
2.000000000000000000e+04,7.194194999999999895e-01,1.960178999999999949e-01
5.000000000000000000e+04,1.835229299999999952e+00,3.178167000000000075e-01
1.000000000000000000e+05,3.735002399999999945e+00,4.196101999999999888e-01
1.000000000000000000e+06,1.064214390000000066e+01,3.013681999999999750e-01
