# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.249999999999999955e-04,5.632800000000000307e-03
2.000000000000000000e+02,1.602799999999999928e-03,7.967600000000000030e-03
5.000000000000000000e+02,3.916700000000000390e-03,1.251939999999999997e-02
1.000000000000000000e+03,8.006199999999999775e-03,1.756270000000000053e-02
2.000000000000000000e+03,1.537209999999999965e-02,2.526410000000000114e-02
5.000000000000000000e+03,3.904099999999999931e-02,3.877769999999999828e-02
1.000000000000000000e+04,7.882840000000000680e-02,5.553670000000000134e-02
2.000000000000000000e+04,1.484680999999999917e-01,6.588149999999999562e-02
5.000000000000000000e+04,3.464859000000000133e-01,9.479790000000000438e-02
1.000000000000000000e+05,6.172727000000000075e-01,1.175305999999999990e-01
