# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.038499999999999947e-03,6.151700000000000397e-03
2.000000000000000000e+02,4.340100000000000381e-03,7.582099999999999604e-03
5.000000000000000000e+02,1.063859999999999979e-02,1.236839999999999988e-02
1.000000000000000000e+03,2.002249999999999863e-02,1.628829999999999861e-02
2.000000000000000000e+03,4.288999999999999757e-02,2.415909999999999933e-02
5.000000000000000000e+03,1.042489999999999944e-01,3.720009999999999983e-02
1.000000000000000000e+04,1.991904999999999926e-01,4.946880000000000027e-02
2.000000000000000000e+04,3.706408999999999954e-01,6.285970000000000446e-02
5.000000000000000000e+04,7.915225999999999651e-01,9.170480000000000298e-02
1.000000000000000000e+05,1.199130800000000052e+00,1.043503999999999959e-01
