# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.269000000000000504e-04,5.789200000000000422e-03
2.000000000000000000e+02,1.486200000000000021e-03,8.181199999999999584e-03
5.000000000000000000e+02,3.535299999999999901e-03,1.259109999999999917e-02
1.000000000000000000e+03,6.767999999999999711e-03,1.748829999999999829e-02
2.000000000000000000e+03,1.448409999999999975e-02,2.565570000000000003e-02
5.000000000000000000e+03,3.399800000000000044e-02,3.898080000000000295e-02
1.000000000000000000e+04,6.872290000000000343e-02,5.501110000000000028e-02
2.000000000000000000e+04,1.347232999999999903e-01,6.987899999999999667e-02
5.000000000000000000e+04,3.205857999999999763e-01,1.018494999999999956e-01
1.000000000000000000e+05,5.820627999999999913e-01,1.250789999999999957e-01
