# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.790500000000000078e-02,3.236250000000000238e-02
2.000000000000000000e+02,3.522170000000000162e-02,4.529160000000000130e-02
5.000000000000000000e+02,8.776589999999999392e-02,6.103539999999999660e-02
1.000000000000000000e+03,1.761318000000000050e-01,8.444970000000000254e-02
2.000000000000000000e+03,3.320578000000000141e-01,1.173179000000000027e-01
5.000000000000000000e+03,8.054516000000000453e-01,1.613331000000000071e-01
1.000000000000000000e+04,1.439382900000000021e+00,2.197446000000000121e-01
2.000000000000000000e+04,2.472151699999999952e+00,2.712029000000000245e-01
5.000000000000000000e+04,4.210625099999999676e+00,2.736524000000000179e-01
1.000000000000000000e+05,5.308663600000000038e+00,2.295998999999999957e-01
1.000000000000000000e+06,7.630979599999999863e+00,1.591445999999999972e-01
