# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.658200000000000082e-03,8.519799999999999249e-03
2.000000000000000000e+02,3.290500000000000022e-03,1.184140000000000019e-02
5.000000000000000000e+02,8.386100000000000498e-03,1.922909999999999897e-02
1.000000000000000000e+03,1.641810000000000144e-02,2.619780000000000025e-02
2.000000000000000000e+03,3.368270000000000292e-02,3.733759999999999857e-02
5.000000000000000000e+03,8.458580000000000265e-02,5.256170000000000286e-02
1.000000000000000000e+04,1.585718999999999879e-01,7.483280000000000487e-02
2.000000000000000000e+04,3.084770000000000012e-01,9.525359999999999383e-02
5.000000000000000000e+04,6.859880999999999895e-01,1.315773000000000081e-01
1.000000000000000000e+05,1.123906400000000083e+00,1.593445000000000000e-01
