# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.260065999999999797e-01,5.037029999999999980e-02
2.000000000000000000e+02,5.649480000000000057e-01,6.899109999999999965e-02
5.000000000000000000e+02,1.022850199999999932e+00,8.550789999999999780e-02
1.000000000000000000e+03,1.418883899999999976e+00,7.831299999999999373e-02
2.000000000000000000e+03,1.872670999999999975e+00,6.795030000000000514e-02
5.000000000000000000e+03,2.253682099999999799e+00,5.455829999999999708e-02
1.000000000000000000e+04,2.463617600000000074e+00,4.904370000000000257e-02
2.000000000000000000e+04,2.565540899999999791e+00,3.551030000000000159e-02
5.000000000000000000e+04,2.647726700000000211e+00,2.113400000000000001e-02
1.000000000000000000e+05,2.669922699999999871e+00,1.825540000000000149e-02
1.000000000000000000e+06,2.715987399999999941e+00,9.546100000000000071e-03
