# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.080000000000000160e-04,7.558099999999999888e-03
2.000000000000000000e+02,1.530200000000000006e-03,1.044619999999999924e-02
5.000000000000000000e+02,3.939999999999999926e-03,1.687050000000000008e-02
1.000000000000000000e+03,7.350800000000000216e-03,2.295240000000000127e-02
2.000000000000000000e+03,1.520930000000000025e-02,3.260060000000000041e-02
5.000000000000000000e+03,3.789809999999999707e-02,5.230680000000000052e-02
1.000000000000000000e+04,7.520259999999999445e-02,7.371779999999999999e-02
2.000000000000000000e+04,1.520855999999999875e-01,1.041481999999999963e-01
5.000000000000000000e+04,3.907218000000000080e-01,1.457683999999999924e-01
1.000000000000000000e+05,7.582257000000000025e-01,1.981827999999999923e-01
1.000000000000000000e+06,8.537486899999999324e+00,7.126685999999999854e-01
