# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.671416000000000235e-01,5.068330000000000057e-02
2.000000000000000000e+02,6.024279999999999635e-01,4.120329999999999826e-02
5.000000000000000000e+02,6.452166000000000290e-01,2.509410000000000113e-02
1.000000000000000000e+03,6.541755000000000209e-01,2.067120000000000068e-02
2.000000000000000000e+03,6.598935000000000217e-01,1.440589999999999926e-02
5.000000000000000000e+03,6.666919999999999513e-01,1.351879999999999922e-02
1.000000000000000000e+04,6.670249000000000317e-01,1.509519999999999959e-02
2.000000000000000000e+04,6.761378000000000110e-01,1.688769999999999855e-02
5.000000000000000000e+04,6.852880000000000082e-01,2.950730000000000020e-02
1.000000000000000000e+05,7.198542999999999470e-01,3.873429999999999929e-02
1.000000000000000000e+06,9.879168000000000394e-01,1.149698999999999999e-01
