# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,6.158000000000000062e-04,5.058899999999999855e-03
2.000000000000000000e+02,1.106900000000000071e-03,6.899500000000000251e-03
5.000000000000000000e+02,2.879500000000000115e-03,1.093120000000000029e-02
1.000000000000000000e+03,5.609199999999999950e-03,1.529050000000000027e-02
2.000000000000000000e+03,1.101859999999999992e-02,1.796909999999999827e-02
5.000000000000000000e+03,2.947309999999999860e-02,2.944659999999999986e-02
1.000000000000000000e+04,5.337859999999999827e-02,3.839290000000000064e-02
2.000000000000000000e+04,1.033053000000000027e-01,5.267190000000000066e-02
5.000000000000000000e+04,2.088250000000000106e-01,6.902590000000000114e-02
1.000000000000000000e+05,3.205089999999999884e-01,7.602730000000000599e-02
