# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.199200000000000113e-03,8.539500000000000215e-03
2.000000000000000000e+02,4.312400000000000087e-03,1.199670000000000077e-02
5.000000000000000000e+02,1.123399999999999919e-02,1.920089999999999991e-02
1.000000000000000000e+03,2.230930000000000066e-02,2.714429999999999968e-02
2.000000000000000000e+03,4.341160000000000158e-02,3.759459999999999885e-02
5.000000000000000000e+03,1.057030999999999943e-01,5.149139999999999967e-02
1.000000000000000000e+04,2.054866999999999944e-01,7.087989999999999569e-02
2.000000000000000000e+04,3.911182999999999743e-01,9.424780000000000657e-02
5.000000000000000000e+04,8.169499999999999540e-01,1.252990999999999966e-01
1.000000000000000000e+05,1.360149800000000075e+00,1.538711000000000106e-01
