# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.952999999999999958e-04,5.088600000000000415e-03
2.000000000000000000e+02,1.199399999999999989e-03,7.199599999999999576e-03
5.000000000000000000e+02,2.994000000000000133e-03,1.148899999999999921e-02
1.000000000000000000e+03,6.600899999999999823e-03,1.677249999999999922e-02
2.000000000000000000e+03,1.213030000000000011e-02,2.298899999999999902e-02
5.000000000000000000e+03,3.120529999999999832e-02,3.721859999999999752e-02
1.000000000000000000e+04,6.243259999999999782e-02,5.233129999999999726e-02
2.000000000000000000e+04,1.227792999999999940e-01,7.127260000000000539e-02
5.000000000000000000e+04,2.932072000000000012e-01,9.669010000000000105e-02
1.000000000000000000e+05,5.544092999999999938e-01,1.283074999999999910e-01
