# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.837999999999999961e-04,4.353499999999999731e-03
2.000000000000000000e+02,8.605999999999999935e-04,5.832399999999999737e-03
5.000000000000000000e+02,2.189099999999999813e-03,9.245700000000000793e-03
1.000000000000000000e+03,4.473399999999999772e-03,1.318139999999999937e-02
2.000000000000000000e+03,9.276599999999999430e-03,1.928310000000000093e-02
5.000000000000000000e+03,2.294989999999999877e-02,2.995149999999999896e-02
1.000000000000000000e+04,4.440859999999999946e-02,4.222830000000000333e-02
2.000000000000000000e+04,8.889650000000000329e-02,5.024839999999999862e-02
5.000000000000000000e+04,2.108356000000000119e-01,7.681079999999999852e-02
1.000000000000000000e+05,4.198661000000000199e-01,1.047489000000000059e-01
