# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.737899999999999905e-03,6.426699999999999600e-03
2.000000000000000000e+02,3.601800000000000054e-03,9.301000000000000240e-03
5.000000000000000000e+02,8.848599999999999868e-03,1.446850000000000046e-02
1.000000000000000000e+03,1.739989999999999939e-02,2.057399999999999854e-02
2.000000000000000000e+03,3.554559999999999664e-02,2.911460000000000090e-02
5.000000000000000000e+03,8.607159999999999811e-02,3.895099999999999951e-02
1.000000000000000000e+04,1.674287000000000136e-01,5.439030000000000253e-02
2.000000000000000000e+04,3.217910999999999966e-01,7.136760000000000326e-02
5.000000000000000000e+04,7.002414000000000138e-01,1.086780999999999997e-01
1.000000000000000000e+05,1.210005199999999892e+00,1.279119999999999979e-01
