# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.632999999999999857e-04,4.068600000000000341e-03
2.000000000000000000e+02,1.126300000000000001e-03,6.415699999999999875e-03
5.000000000000000000e+02,2.644599999999999989e-03,9.543400000000000494e-03
1.000000000000000000e+03,5.716999999999999860e-03,1.146909999999999943e-02
2.000000000000000000e+03,9.961899999999999228e-03,1.525589999999999932e-02
5.000000000000000000e+03,2.374820000000000056e-02,2.319239999999999843e-02
1.000000000000000000e+04,5.867370000000000224e-02,3.664699999999999902e-02
2.000000000000000000e+04,9.915939999999999477e-02,4.367889999999999967e-02
5.000000000000000000e+04,2.105261999999999967e-01,5.841969999999999802e-02
1.000000000000000000e+05,3.973503999999999925e-01,7.543450000000000155e-02
