# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.300000000000000002e-06,2.342000000000000006e-04
2.000000000000000000e+02,4.699999999999999893e-06,3.311000000000000249e-04
5.000000000000000000e+02,4.699999999999999893e-06,3.311000000000000249e-04
1.000000000000000000e+03,1.399999999999999979e-05,5.733999999999999514e-04
2.000000000000000000e+03,4.210000000000000011e-05,9.925999999999999494e-04
5.000000000000000000e+03,1.241000000000000078e-04,1.700200000000000019e-03
1.000000000000000000e+04,2.154000000000000044e-04,2.235700000000000187e-03
2.000000000000000000e+04,4.542999999999999838e-04,3.280299999999999883e-03
5.000000000000000000e+04,1.156799999999999929e-03,5.202400000000000253e-03
1.000000000000000000e+05,2.326400000000000169e-03,7.235700000000000291e-03
