# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.843900000000000096e-03,7.664400000000000032e-03
2.000000000000000000e+02,3.435500000000000186e-03,1.039759999999999990e-02
5.000000000000000000e+02,9.155800000000000397e-03,1.708640000000000159e-02
1.000000000000000000e+03,1.824179999999999899e-02,2.415269999999999917e-02
2.000000000000000000e+03,3.535689999999999666e-02,2.878589999999999968e-02
5.000000000000000000e+03,8.857800000000000396e-02,4.566560000000000064e-02
1.000000000000000000e+04,1.774255999999999889e-01,6.506489999999999496e-02
2.000000000000000000e+04,3.320522000000000196e-01,8.373450000000000337e-02
5.000000000000000000e+04,6.977562999999999960e-01,1.072547999999999974e-01
1.000000000000000000e+05,1.134623299999999890e+00,1.200384000000000034e-01
1.000000000000000000e+06,2.129020800000000158e+00,6.838410000000000322e-02
