# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.206000000000000041e-04,1.952600000000000082e-03
2.000000000000000000e+02,2.634000000000000057e-04,2.913999999999999924e-03
5.000000000000000000e+02,6.537999999999999541e-04,4.530099999999999578e-03
1.000000000000000000e+03,1.266299999999999934e-03,6.323999999999999760e-03
2.000000000000000000e+03,2.481699999999999878e-03,8.856799999999999742e-03
5.000000000000000000e+03,5.715600000000000368e-03,1.342929999999999992e-02
1.000000000000000000e+04,1.203109999999999943e-02,1.958350000000000021e-02
2.000000000000000000e+04,2.357980000000000145e-02,2.732510000000000147e-02
5.000000000000000000e+04,5.953649999999999914e-02,3.767390000000000322e-02
1.000000000000000000e+05,1.168418999999999985e-01,5.383260000000000128e-02
