# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.678199999999999959e-03,1.088629999999999980e-02
2.000000000000000000e+02,7.137400000000000341e-03,1.497719999999999954e-02
5.000000000000000000e+02,1.719769999999999979e-02,2.315290000000000056e-02
1.000000000000000000e+03,3.573780000000000012e-02,3.378040000000000209e-02
2.000000000000000000e+03,7.242439999999999989e-02,4.305060000000000137e-02
5.000000000000000000e+03,1.714784000000000030e-01,6.387809999999999322e-02
1.000000000000000000e+04,3.397402999999999951e-01,8.493449999999999611e-02
2.000000000000000000e+04,6.075161999999999507e-01,1.020783999999999997e-01
5.000000000000000000e+04,1.186955800000000005e+00,1.273942000000000130e-01
1.000000000000000000e+05,1.666206999999999994e+00,1.182982000000000061e-01
1.000000000000000000e+06,2.707933800000000168e+00,9.228429999999999966e-02
