# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.790999999999999552e-04,5.341900000000000120e-03
2.000000000000000000e+02,1.720100000000000014e-03,7.351700000000000075e-03
5.000000000000000000e+02,4.138400000000000412e-03,1.124700000000000005e-02
1.000000000000000000e+03,8.511599999999999375e-03,1.644970000000000113e-02
2.000000000000000000e+03,1.734049999999999828e-02,2.327450000000000005e-02
5.000000000000000000e+03,4.198969999999999786e-02,3.169709999999999889e-02
1.000000000000000000e+04,8.755609999999999782e-02,4.474079999999999724e-02
2.000000000000000000e+04,1.650772000000000073e-01,6.109239999999999809e-02
5.000000000000000000e+04,3.947724000000000233e-01,8.781629999999999991e-02
1.000000000000000000e+05,6.811719999999999997e-01,1.070788000000000018e-01
1.000000000000000000e+06,1.924688399999999966e+00,8.999160000000000492e-02
