# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.173999999999999941e-04,1.926799999999999997e-03
2.000000000000000000e+02,2.443999999999999775e-04,2.810099999999999838e-03
5.000000000000000000e+02,6.315000000000000084e-04,4.432099999999999582e-03
1.000000000000000000e+03,1.129800000000000032e-03,6.032499999999999668e-03
2.000000000000000000e+03,2.291300000000000021e-03,8.562099999999999572e-03
5.000000000000000000e+03,5.909199999999999869e-03,1.365489999999999933e-02
1.000000000000000000e+04,1.154550000000000021e-02,1.876039999999999999e-02
2.000000000000000000e+04,2.404629999999999962e-02,2.749849999999999864e-02
5.000000000000000000e+04,5.705469999999999986e-02,3.636930000000000024e-02
1.000000000000000000e+05,1.149159000000000014e-01,5.231809999999999933e-02
