# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.827999999999999981e-03,7.529000000000000102e-03
2.000000000000000000e+02,3.612000000000000193e-03,1.078439999999999954e-02
5.000000000000000000e+02,9.531899999999999401e-03,1.754930000000000032e-02
1.000000000000000000e+03,1.872729999999999881e-02,2.432470000000000118e-02
2.000000000000000000e+03,3.761020000000000335e-02,3.423709999999999948e-02
5.000000000000000000e+03,9.246240000000000014e-02,4.652450000000000335e-02
1.000000000000000000e+04,1.850114999999999954e-01,6.512479999999999658e-02
2.000000000000000000e+04,3.516618000000000244e-01,8.556089999999999529e-02
5.000000000000000000e+04,7.547449000000000519e-01,1.104363000000000011e-01
1.000000000000000000e+05,1.183454999999999924e+00,1.247950000000000031e-01
1.000000000000000000e+06,2.169649399999999950e+00,6.817479999999999374e-02
