# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.782299999999999766e-03,1.348689999999999958e-02
2.000000000000000000e+02,1.088219999999999986e-02,1.856259999999999855e-02
5.000000000000000000e+02,2.830030000000000046e-02,2.965090000000000087e-02
1.000000000000000000e+03,5.448730000000000240e-02,3.653769999999999935e-02
2.000000000000000000e+03,1.112976999999999994e-01,5.306299999999999906e-02
5.000000000000000000e+03,2.619453999999999949e-01,7.586800000000000488e-02
1.000000000000000000e+04,5.019953999999999805e-01,1.043303000000000008e-01
2.000000000000000000e+04,8.856779999999999653e-01,1.206349000000000032e-01
5.000000000000000000e+04,1.503867700000000029e+00,1.203139000000000014e-01
1.000000000000000000e+05,1.856439299999999903e+00,1.012103000000000030e-01
1.000000000000000000e+06,2.341240800000000011e+00,5.356289999999999663e-02
