# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.234199999999999988e-03,8.399200000000000763e-03
2.000000000000000000e+02,4.227200000000000402e-03,1.168029999999999936e-02
5.000000000000000000e+02,1.122500000000000060e-02,1.900440000000000115e-02
1.000000000000000000e+03,2.150109999999999869e-02,2.587770000000000001e-02
2.000000000000000000e+03,4.237799999999999900e-02,3.165099999999999858e-02
5.000000000000000000e+03,1.059564999999999951e-01,5.033630000000000049e-02
1.000000000000000000e+04,2.085203999999999946e-01,6.902400000000000202e-02
2.000000000000000000e+04,4.079089000000000187e-01,9.360849999999999727e-02
5.000000000000000000e+04,8.277364999999999862e-01,1.193224999999999980e-01
1.000000000000000000e+05,1.274178400000000044e+00,1.201345000000000052e-01
1.000000000000000000e+06,2.179471100000000217e+00,6.171700000000000103e-02
