# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.832999999999999840e-04,3.890100000000000068e-03
2.000000000000000000e+02,1.039400000000000003e-03,5.668600000000000201e-03
5.000000000000000000e+02,2.696000000000000046e-03,9.369600000000000498e-03
1.000000000000000000e+03,5.451700000000000296e-03,1.307419999999999936e-02
2.000000000000000000e+03,1.044510000000000056e-02,1.806359999999999910e-02
5.000000000000000000e+03,2.695699999999999832e-02,2.899370000000000072e-02
1.000000000000000000e+04,5.270880000000000010e-02,3.490309999999999940e-02
2.000000000000000000e+04,1.029758000000000062e-01,4.836649999999999977e-02
5.000000000000000000e+04,2.428639999999999965e-01,7.117909999999999515e-02
1.000000000000000000e+05,4.350612999999999841e-01,8.889489999999999892e-02
