# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.156214999999999937e-01,6.432519999999999905e-02
2.000000000000000000e+02,4.269629999999999814e-01,9.534220000000000195e-02
5.000000000000000000e+02,8.458533000000000301e-01,1.195128000000000024e-01
1.000000000000000000e+03,1.333288100000000087e+00,1.415251999999999899e-01
2.000000000000000000e+03,1.885803099999999954e+00,1.419166000000000039e-01
5.000000000000000000e+03,2.589103699999999897e+00,1.322509000000000046e-01
1.000000000000000000e+04,3.182310499999999820e+00,1.373960999999999932e-01
2.000000000000000000e+04,3.813860099999999864e+00,1.341402999999999901e-01
5.000000000000000000e+04,4.705975800000000042e+00,1.505179000000000100e-01
1.000000000000000000e+05,5.349988500000000258e+00,1.280457999999999874e-01
1.000000000000000000e+06,6.519254100000000385e+00,1.452974999999999961e-01
