# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.395000000000000123e-04,4.230799999999999839e-03
2.000000000000000000e+02,8.436000000000000139e-04,6.678800000000000361e-03
5.000000000000000000e+02,1.978900000000000017e-03,1.027519999999999996e-02
1.000000000000000000e+03,3.289400000000000050e-03,1.322710000000000032e-02
2.000000000000000000e+03,7.284399999999999903e-03,1.955470000000000125e-02
5.000000000000000000e+03,1.847889999999999949e-02,3.153009999999999841e-02
1.000000000000000000e+04,3.616729999999999945e-02,4.392279999999999796e-02
2.000000000000000000e+04,7.242469999999999464e-02,6.178070000000000089e-02
5.000000000000000000e+04,1.791811000000000098e-01,8.345589999999999953e-02
1.000000000000000000e+05,3.479210999999999832e-01,1.147014999999999979e-01
