# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.458400000000000104e-03,4.879299999999999610e-03
2.000000000000000000e+02,3.129400000000000064e-03,7.164900000000000088e-03
5.000000000000000000e+02,7.672700000000000180e-03,1.112819999999999955e-02
1.000000000000000000e+03,1.555789999999999951e-02,1.581290000000000126e-02
2.000000000000000000e+03,2.985679999999999931e-02,1.997289999999999829e-02
5.000000000000000000e+03,7.540149999999999630e-02,3.050709999999999880e-02
1.000000000000000000e+04,1.459244000000000097e-01,4.082840000000000080e-02
2.000000000000000000e+04,2.771205999999999947e-01,5.334060000000000190e-02
5.000000000000000000e+04,5.941478000000000037e-01,7.540560000000000318e-02
1.000000000000000000e+05,1.004135999999999918e+00,8.766110000000000568e-02
1.000000000000000000e+06,2.328758699999999848e+00,6.985149999999999693e-02
