# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,7.506000000000000302e-04,5.884399999999999700e-03
2.000000000000000000e+02,1.786700000000000007e-03,8.958699999999999997e-03
5.000000000000000000e+02,4.130299999999999944e-03,1.373820000000000076e-02
1.000000000000000000e+03,8.521900000000000655e-03,1.992479999999999946e-02
2.000000000000000000e+03,1.675079999999999972e-02,2.734740000000000087e-02
5.000000000000000000e+03,4.177440000000000320e-02,4.299769999999999981e-02
1.000000000000000000e+04,8.272889999999999411e-02,6.111230000000000134e-02
2.000000000000000000e+04,1.664921000000000040e-01,7.431379999999999930e-02
5.000000000000000000e+04,4.287194999999999756e-01,1.286896999999999902e-01
1.000000000000000000e+05,8.453889999999999461e-01,1.681305999999999912e-01
1.000000000000000000e+06,6.147760700000000078e+00,3.297143000000000157e-01
