# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.143299999999999955e-03,1.204590000000000001e-02
2.000000000000000000e+02,9.871899999999999425e-03,1.659829999999999986e-02
5.000000000000000000e+02,2.584699999999999845e-02,2.328939999999999830e-02
1.000000000000000000e+03,5.273440000000000072e-02,3.449950000000000239e-02
2.000000000000000000e+03,1.005594999999999961e-01,4.561740000000000239e-02
5.000000000000000000e+03,2.428362000000000021e-01,6.770629999999999704e-02
1.000000000000000000e+04,4.374119000000000201e-01,8.890420000000000267e-02
2.000000000000000000e+04,7.597886999999999835e-01,1.143512000000000001e-01
5.000000000000000000e+04,1.321926900000000016e+00,1.091641000000000000e-01
1.000000000000000000e+05,1.855939999999999923e+00,1.124070000000000069e-01
1.000000000000000000e+06,3.283313699999999891e+00,9.576060000000000128e-02
