# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.862000000000000090e-04,3.289400000000000050e-03
2.000000000000000000e+02,7.923999999999999620e-04,4.711500000000000410e-03
5.000000000000000000e+02,2.007899999999999963e-03,7.562199999999999825e-03
1.000000000000000000e+03,3.978899999999999625e-03,1.057589999999999919e-02
2.000000000000000000e+03,8.258800000000000169e-03,1.541569999999999920e-02
5.000000000000000000e+03,2.014710000000000112e-02,2.374690000000000134e-02
1.000000000000000000e+04,3.931420000000000053e-02,3.322920000000000040e-02
2.000000000000000000e+04,7.668490000000000029e-02,4.015790000000000332e-02
5.000000000000000000e+04,1.830622000000000082e-01,6.142870000000000275e-02
1.000000000000000000e+05,3.416406000000000165e-01,7.876470000000000693e-02
