# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.968140000000000167e-02,2.492410000000000111e-02
2.000000000000000000e+02,4.094529999999999698e-02,3.096830000000000069e-02
5.000000000000000000e+02,9.927249999999999963e-02,4.653840000000000060e-02
1.000000000000000000e+03,1.934185999999999961e-01,6.672100000000000253e-02
2.000000000000000000e+03,3.700206999999999802e-01,9.278450000000000586e-02
5.000000000000000000e+03,7.567895999999999512e-01,1.207162999999999986e-01
1.000000000000000000e+04,1.205201600000000095e+00,1.255058000000000007e-01
2.000000000000000000e+04,1.649301499999999976e+00,1.150077000000000044e-01
5.000000000000000000e+04,2.101090999999999820e+00,9.612619999999999498e-02
1.000000000000000000e+05,2.344597300000000217e+00,8.652070000000000594e-02
1.000000000000000000e+06,2.987953599999999987e+00,8.534410000000000607e-02
