# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,6.797744999999999482e-01,1.336519999999999930e-01
2.000000000000000000e+02,1.078033199999999914e+00,1.548570999999999975e-01
5.000000000000000000e+02,1.782542400000000082e+00,1.545162999999999953e-01
1.000000000000000000e+03,2.314650499999999944e+00,1.519722000000000017e-01
2.000000000000000000e+03,2.831924400000000119e+00,1.407654999999999879e-01
5.000000000000000000e+03,3.503477499999999800e+00,1.436338000000000059e-01
1.000000000000000000e+04,3.918226499999999835e+00,1.267516999999999949e-01
2.000000000000000000e+04,4.339113399999999565e+00,1.194246999999999947e-01
5.000000000000000000e+04,4.844304199999999838e+00,1.348427000000000098e-01
1.000000000000000000e+05,5.185905499999999613e+00,1.066639000000000059e-01
1.000000000000000000e+06,6.388155900000000109e+00,1.234885000000000010e-01
