# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.175869000000000053e-01,7.542459999999999443e-02
2.000000000000000000e+02,5.396033000000000079e-01,8.812699999999999700e-02
5.000000000000000000e+02,1.048522200000000071e+00,1.064715999999999996e-01
1.000000000000000000e+03,1.463820700000000086e+00,1.116830000000000045e-01
2.000000000000000000e+03,1.844515700000000091e+00,1.095580000000000026e-01
5.000000000000000000e+03,2.286429200000000161e+00,9.464519999999999877e-02
1.000000000000000000e+04,2.644832599999999978e+00,7.467540000000000289e-02
2.000000000000000000e+04,2.820955899999999961e+00,7.486030000000000462e-02
5.000000000000000000e+04,3.013581900000000147e+00,5.713870000000000060e-02
1.000000000000000000e+05,3.110280299999999887e+00,5.202760000000000024e-02
1.000000000000000000e+06,3.357474900000000151e+00,2.880709999999999868e-02
