# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.423000000000000174e-04,3.559300000000000051e-03
2.000000000000000000e+02,7.598999999999999852e-04,4.631699999999999880e-03
5.000000000000000000e+02,1.879900000000000104e-03,7.201599999999999842e-03
1.000000000000000000e+03,3.501900000000000065e-03,9.986800000000000538e-03
2.000000000000000000e+03,7.267400000000000249e-03,1.416650000000000027e-02
5.000000000000000000e+03,1.829889999999999989e-02,2.274239999999999942e-02
1.000000000000000000e+04,3.700069999999999748e-02,3.198909999999999948e-02
2.000000000000000000e+04,7.075190000000000645e-02,3.956210000000000282e-02
5.000000000000000000e+04,1.719488000000000127e-01,5.936249999999999860e-02
1.000000000000000000e+05,3.024291000000000063e-01,7.207280000000000630e-02
