# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.570679999999999688e-02,2.948910000000000073e-02
2.000000000000000000e+02,7.354829999999999701e-02,3.764130000000000253e-02
5.000000000000000000e+02,1.822479999999999933e-01,5.817359999999999892e-02
1.000000000000000000e+03,3.423396000000000217e-01,7.446490000000000054e-02
2.000000000000000000e+03,6.217561000000000337e-01,9.490510000000000612e-02
5.000000000000000000e+03,1.159156400000000087e+00,1.096096000000000015e-01
1.000000000000000000e+04,1.663690399999999903e+00,1.035477999999999954e-01
2.000000000000000000e+04,2.111760400000000093e+00,9.921309999999999851e-02
5.000000000000000000e+04,2.738708799999999943e+00,8.893070000000000142e-02
1.000000000000000000e+05,3.191994699999999963e+00,1.287742000000000053e-01
1.000000000000000000e+06,4.020275500000000335e+00,6.224310000000000259e-02
