# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.066099999999999947e-03,5.139200000000000018e-03
2.000000000000000000e+02,2.074900000000000182e-03,7.226200000000000331e-03
5.000000000000000000e+02,5.367799999999999828e-03,1.142710000000000080e-02
1.000000000000000000e+03,1.069089999999999971e-02,1.619620000000000087e-02
2.000000000000000000e+03,2.137179999999999983e-02,2.281079999999999913e-02
5.000000000000000000e+03,5.241570000000000257e-02,3.541459999999999747e-02
1.000000000000000000e+04,1.013590999999999936e-01,4.299800000000000150e-02
2.000000000000000000e+04,1.903285000000000116e-01,5.759859999999999980e-02
5.000000000000000000e+04,4.106506999999999796e-01,7.666280000000000316e-02
1.000000000000000000e+05,6.508057999999999899e-01,9.062299999999999522e-02
