# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,4.141099999999999989e-03,1.302969999999999996e-02
2.000000000000000000e+02,7.594799999999999641e-03,1.766490000000000074e-02
5.000000000000000000e+02,1.971169999999999867e-02,2.846320000000000100e-02
1.000000000000000000e+03,3.916669999999999874e-02,4.131719999999999837e-02
2.000000000000000000e+03,7.704560000000000575e-02,5.529980000000000312e-02
5.000000000000000000e+03,1.914607000000000114e-01,7.338590000000000391e-02
1.000000000000000000e+04,3.853191999999999728e-01,1.062501000000000001e-01
2.000000000000000000e+04,7.236962000000000117e-01,1.417413999999999896e-01
5.000000000000000000e+04,1.619521599999999895e+00,2.055636000000000130e-01
1.000000000000000000e+05,2.877021800000000074e+00,2.621842999999999813e-01
1.000000000000000000e+06,8.447706200000000720e+00,2.161600999999999939e-01
