# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,8.199000000000000342e-04,5.828200000000000394e-03
2.000000000000000000e+02,1.570299999999999951e-03,8.017299999999999774e-03
5.000000000000000000e+02,3.776700000000000022e-03,1.244280000000000039e-02
1.000000000000000000e+03,7.607199999999999726e-03,1.764500000000000096e-02
2.000000000000000000e+03,1.518480000000000003e-02,2.511089999999999850e-02
5.000000000000000000e+03,3.755580000000000029e-02,3.910310000000000175e-02
1.000000000000000000e+04,7.453609999999999403e-02,5.567710000000000020e-02
2.000000000000000000e+04,1.464756999999999865e-01,7.676869999999999528e-02
5.000000000000000000e+04,3.520928999999999864e-01,1.047277999999999959e-01
1.000000000000000000e+05,6.735813999999999968e-01,1.376051000000000080e-01
