# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.739999999999999855e-05,7.307000000000000344e-04
2.000000000000000000e+02,7.040000000000000359e-05,1.170400000000000043e-03
5.000000000000000000e+02,1.622000000000000124e-04,1.773000000000000053e-03
1.000000000000000000e+03,3.557000000000000266e-04,2.641300000000000071e-03
2.000000000000000000e+03,7.249999999999999500e-04,3.734700000000000086e-03
5.000000000000000000e+03,1.946400000000000040e-03,6.219099999999999975e-03
1.000000000000000000e+04,3.556600000000000039e-03,8.297300000000000508e-03
2.000000000000000000e+04,7.507999999999999917e-03,1.225380000000000046e-02
5.000000000000000000e+04,1.856879999999999989e-02,1.678699999999999984e-02
1.000000000000000000e+05,3.641459999999999836e-02,2.348580000000000112e-02
