# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.007330000000000031e-02,1.548090000000000056e-02
2.000000000000000000e+02,2.050640000000000102e-02,1.868030000000000038e-02
5.000000000000000000e+02,5.021830000000000044e-02,2.928439999999999863e-02
1.000000000000000000e+03,9.688420000000000365e-02,3.965319999999999956e-02
2.000000000000000000e+03,1.855726000000000042e-01,5.460679999999999701e-02
5.000000000000000000e+03,4.316783000000000148e-01,8.064889999999999559e-02
1.000000000000000000e+04,7.284426000000000512e-01,9.212019999999999931e-02
2.000000000000000000e+04,1.137481799999999987e+00,1.087482000000000032e-01
5.000000000000000000e+04,1.744520800000000094e+00,9.851079999999999559e-02
1.000000000000000000e+05,2.105820000000000025e+00,8.040329999999999699e-02
1.000000000000000000e+06,2.878959000000000046e+00,6.884980000000000266e-02
