# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.850110000000000088e-01,9.758699999999999319e-02
2.000000000000000000e+02,4.202296999999999838e-01,1.781163000000000052e-01
5.000000000000000000e+02,9.367744999999999544e-01,1.800554000000000043e-01
1.000000000000000000e+03,2.461256699999999853e+00,2.667304999999999815e-01
2.000000000000000000e+03,5.323653600000000097e+00,5.760089999999999932e-01
5.000000000000000000e+03,9.313326800000000460e+00,3.893497000000000208e-01
1.000000000000000000e+04,1.122859249999999953e+01,3.501600000000000268e-01
2.000000000000000000e+04,1.310819530000000022e+01,3.899252999999999747e-01
5.000000000000000000e+04,1.604648859999999999e+01,3.956896999999999776e-01
1.000000000000000000e+05,1.814326060000000140e+01,3.817549000000000081e-01
1.000000000000000000e+06,2.176492779999999883e+01,2.419900000000000106e-01
