# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.170659999999999951e-02,3.487010000000000109e-02
2.000000000000000000e+02,4.678079999999999739e-02,5.339220000000000077e-02
5.000000000000000000e+02,1.150985000000000064e-01,7.910340000000000427e-02
1.000000000000000000e+03,2.546435000000000226e-01,1.244572000000000039e-01
2.000000000000000000e+03,4.614289999999999781e-01,1.696867999999999987e-01
5.000000000000000000e+03,1.430428199999999928e+00,2.683503999999999889e-01
1.000000000000000000e+04,2.735119099999999914e+00,4.660934999999999939e-01
2.000000000000000000e+04,6.010310500000000111e+00,5.971686999999999967e-01
5.000000000000000000e+04,1.148701499999999953e+01,5.110506999999999689e-01
1.000000000000000000e+05,1.536003129999999928e+01,5.100194000000000116e-01
1.000000000000000000e+06,2.290832959999999829e+01,3.712215999999999849e-01
