# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.104000000000000097e-04,2.971099999999999956e-03
2.000000000000000000e+02,5.950000000000000427e-04,4.172600000000000267e-03
5.000000000000000000e+02,1.681599999999999892e-03,6.962999999999999572e-03
1.000000000000000000e+03,3.133200000000000048e-03,9.407999999999999696e-03
2.000000000000000000e+03,6.539500000000000174e-03,1.366960000000000050e-02
5.000000000000000000e+03,1.642779999999999935e-02,2.187429999999999930e-02
1.000000000000000000e+04,3.298199999999999743e-02,2.654170000000000140e-02
2.000000000000000000e+04,6.455850000000000477e-02,3.625810000000000144e-02
5.000000000000000000e+04,1.577454000000000078e-01,5.666249999999999759e-02
1.000000000000000000e+05,2.869410000000000016e-01,7.000180000000000291e-02
