# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,1.208440000000000035e-02,1.556390000000000030e-02
2.000000000000000000e+02,2.278619999999999951e-02,2.259509999999999991e-02
5.000000000000000000e+02,5.614480000000000165e-02,3.376200000000000034e-02
1.000000000000000000e+03,1.117274000000000045e-01,4.840570000000000289e-02
2.000000000000000000e+03,2.018677000000000110e-01,6.248829999999999663e-02
5.000000000000000000e+03,4.678668999999999745e-01,8.392310000000000048e-02
1.000000000000000000e+04,7.552240000000000064e-01,9.927640000000000076e-02
2.000000000000000000e+04,1.147646900000000025e+00,1.084362999999999994e-01
5.000000000000000000e+04,1.590835999999999917e+00,8.686660000000000215e-02
1.000000000000000000e+05,1.825520100000000090e+00,7.246900000000000563e-02
1.000000000000000000e+06,2.351631199999999922e+00,7.742910000000000070e-02
