# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,2.385999999999999992e-04,2.607899999999999802e-03
2.000000000000000000e+02,4.943999999999999827e-04,3.737299999999999824e-03
5.000000000000000000e+02,1.310799999999999986e-03,6.105900000000000043e-03
1.000000000000000000e+03,2.538200000000000005e-03,8.666699999999999404e-03
2.000000000000000000e+03,5.237300000000000288e-03,1.230350000000000020e-02
5.000000000000000000e+03,1.367690000000000052e-02,1.989470000000000127e-02
1.000000000000000000e+04,2.709220000000000031e-02,2.742999999999999952e-02
2.000000000000000000e+04,5.330479999999999940e-02,3.401280000000000275e-02
5.000000000000000000e+04,1.313734000000000013e-01,5.173210000000000308e-02
1.000000000000000000e+05,2.488876999999999895e-01,7.025460000000000038e-02
