# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.381600000000000272e-03,1.128990000000000028e-02
2.000000000000000000e+02,1.044570000000000047e-02,1.347119999999999915e-02
5.000000000000000000e+02,2.788940000000000169e-02,2.197779999999999873e-02
1.000000000000000000e+03,5.444179999999999853e-02,3.106470000000000065e-02
2.000000000000000000e+03,1.086823999999999985e-01,4.105129999999999890e-02
5.000000000000000000e+03,2.697517999999999860e-01,6.258719999999999561e-02
1.000000000000000000e+04,5.034201999999999844e-01,9.029890000000000139e-02
2.000000000000000000e+04,9.157328000000000134e-01,1.282792000000000099e-01
5.000000000000000000e+04,1.808777099999999916e+00,1.304221000000000130e-01
1.000000000000000000e+05,2.594883999999999968e+00,1.398861000000000132e-01
1.000000000000000000e+06,5.013348800000000161e+00,1.160805000000000031e-01
