# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,3.339999999999999870e-05,8.926999999999999606e-04
2.000000000000000000e+02,7.880000000000000448e-05,1.369299999999999944e-03
5.000000000000000000e+02,1.097999999999999991e-04,1.615600000000000022e-03
1.000000000000000000e+03,2.841000000000000209e-04,2.610900000000000200e-03
2.000000000000000000e+03,5.873000000000000182e-04,3.759600000000000095e-03
5.000000000000000000e+03,1.368099999999999915e-03,5.701099999999999744e-03
1.000000000000000000e+04,2.638300000000000107e-03,7.922000000000000222e-03
2.000000000000000000e+04,5.341000000000000261e-03,1.140700000000000047e-02
5.000000000000000000e+04,1.368800000000000051e-02,1.820880000000000068e-02
1.000000000000000000e+05,2.752169999999999964e-02,2.546319999999999834e-02
