# pressure[Pa],mean_volume[mol/kg],mean_error[mol/kg]
1.000000000000000000e+02,5.366640000000000299e-02,4.908359999999999806e-02
2.000000000000000000e+02,1.077154000000000028e-01,5.952319999999999833e-02
5.000000000000000000e+02,2.657626000000000155e-01,9.263889999999999625e-02
1.000000000000000000e+03,5.149540000000000228e-01,1.277618000000000087e-01
2.000000000000000000e+03,9.435525999999999636e-01,1.561826000000000048e-01
5.000000000000000000e+03,1.926256100000000027e+00,2.133010999999999935e-01
1.000000000000000000e+04,2.827931799999999996e+00,2.168383000000000116e-01
2.000000000000000000e+04,3.744273800000000207e+00,2.003410999999999942e-01
5.000000000000000000e+04,4.780366500000000407e+00,1.742205000000000004e-01
1.000000000000000000e+05,5.371437900000000099e+00,1.464392999999999945e-01
1.000000000000000000e+06,6.731940599999999719e+00,1.354383000000000115e-01
